Date,Price,Delta,%_Delta,Mkt_State
2015-06-12,229.98,0.97999999999999,0.10435690060005613,1
2015-06-13,230.22,0.24000000000001,0.7948918425853586,1
2015-06-14,232.05,1.83,1.9004524886877812,1
2015-06-15,236.46,4.41,3.759621077560681,1
2015-06-16,245.35,8.89,1.878948441002655,1
2015-06-17,249.96,4.61,-0.6841094575132053,0
2015-06-18,248.25,-1.71,-0.725075528700911,0
2015-06-19,246.45,-1.8,-0.9616555082166671,0
2015-06-20,244.08,-2.37,-0.6596197967879439,0
2015-06-21,242.47,-1.61,1.6001979626345508,1
2015-06-22,246.35,3.88,-0.9864014613355011,0
2015-06-23,243.92,-2.43,-1.3447031813709418,0
2015-06-24,240.64,-3.28,0.5319148936170218,1
2015-06-25,241.92,1.28,-0.3017526455026413,0
2015-06-26,241.19,-0.72999999999999,3.0308055889547667,1
2015-06-27,248.5,7.31,0.10462776659959393,1
2015-06-28,248.76,0.25999999999999,2.0260492040521068,1
2015-06-29,253.8,5.04,3.439716312056722,1
2015-06-30,262.53,8.73,-1.7826534110387195,0
2015-07-01,257.85,-4.6799999999999,-1.082024432809781,0
2015-07-02,255.06,-2.79,0.01568258448992082,1
2015-07-03,255.1,0.039999999999992,1.1054488435907572,1
2015-07-04,257.92,2.82,5.040322580645161,1
2015-07-05,270.92,13.0,0.9043260002952859,1
2015-07-06,273.37,2.45,-2.2350660277279926,0
2015-07-07,267.26,-6.11,0.9054852952181456,1
2015-07-08,269.68,2.42,0.3708098487095817,1
2015-07-09,270.68,1.0,6.021870843800802,1
2015-07-10,286.98,16.3,2.2719353265035824,1
2015-07-11,293.5,6.52,5.383304940374791,1
2015-07-12,309.3,15.8,-6.272227610733926,0
2015-07-13,289.9,-19.4,1.0244912038634106,1
2015-07-14,292.87,2.97,-0.6555809744938081,0
2015-07-15,290.95,-1.92,-5.220828321017357,0
2015-07-16,275.76,-15.19,0.8086742094575059,1
2015-07-17,277.99,2.23,0.032375265297303855,1
2015-07-18,278.08,0.089999999999975,-0.7156214039125465,0
2015-07-19,276.09,-1.99,0.785975587670693,1
2015-07-20,278.26,2.17,0.2551570473657861,1
2015-07-21,278.97,0.71000000000004,-0.5125999211384761,0
2015-07-22,277.54,-1.43,-0.3242775816098703,0
2015-07-23,276.64,-0.90000000000003,3.8533834586466256,1
2015-07-24,287.3,10.66,-0.06265227984685236,0
2015-07-25,287.12,-0.18000000000001,1.8145723042630189,1
2015-07-26,292.33,5.21,-0.5268019019601011,0
2015-07-27,290.79,-1.54,1.530313972282399,1
2015-07-28,295.24,4.45,-1.5377320146321705,0
2015-07-29,290.7,-4.54,-1.080151358789125,0
2015-07-30,287.56,-3.14,-0.9667547642231289,0
2015-07-31,284.78,-2.78,-1.425661914460266,0
2015-08-01,280.72,-4.0599999999999,-0.01068680535766228,0
2015-08-02,280.69,-0.03000000000003,1.3181801987958206,1
2015-08-03,284.39,3.7,0.21449418052674626,1
2015-08-04,285.0,0.61000000000001,-0.8105263157894744,0
2015-08-05,282.69,-2.31,-1.977431108281147,0
2015-08-06,277.1,-5.59,0.8264164561530002,1
2015-08-07,279.39,2.29,-3.4002648627366763,0
2015-08-08,269.89,-9.5,-1.656230316054678,0
2015-08-09,265.42,-4.47,-0.5086278351292377,0
2015-08-10,264.07,-1.35,0.674063695232336,1
2015-08-11,265.85,1.78,0.7673500094037854,1
2015-08-12,267.89,2.04,-0.7167120833177645,0
2015-08-13,265.97,-1.92,0.383501898710374,1
2015-08-14,266.99,1.02,-0.5917824637626817,0
2015-08-15,265.41,-1.58,-2.991597905127914,0
2015-08-16,257.47,-7.94,0.0,0
2015-08-17,257.47,0.0,-0.007767895288786519,0
2015-08-18,257.45,-0.020000000000039,-1.375024276558552,0
2015-08-19,253.91,-3.54,-8.120987751565517,0
2015-08-20,233.29,-20.62,-0.025719062111535976,0
2015-08-21,233.23,-0.060000000000002,0.1543540710886308,1
2015-08-22,233.59,0.36000000000001,-3.232158910912287,0
2015-08-23,226.04,-7.55,1.167934878782523,1
2015-08-24,228.68,2.64,-6.751792898373272,0
2015-08-25,213.24,-15.44,4.117426374038642,1
2015-08-26,222.02,8.78,3.0717953337537125,1
2015-08-27,228.84,6.82,-0.24908232826428647,0
2015-08-28,228.27,-0.56999999999999,2.5846585184211577,1
2015-08-29,234.17,5.9,-2.5408890976640857,0
2015-08-30,228.22,-5.95,-0.7668039610901761,0
2015-08-31,226.47,-1.75,1.9737713604450915,1
2015-09-01,230.94,4.47,-1.1344938079154778,0
2015-09-02,228.32,-2.62,1.033637000700777,1
2015-09-03,230.68,2.36,-1.4132131090688482,0
2015-09-04,227.42,-3.26,1.4862369184768376,1
2015-09-05,230.8,3.38,1.6767764298093484,1
2015-09-06,234.67,3.87,2.356500617888951,1
2015-09-07,240.2,5.53,0.462114904246467,1
2015-09-08,241.31,1.11,0.7334963325183417,1
2015-09-09,243.08,1.77,-1.234161592891229,0
2015-09-10,240.08,-3.0,-0.1666111296234612,0
2015-09-11,239.68,-0.40000000000001,0.10430574098798398,1
2015-09-12,239.93,0.25,-2.0005835035218653,0
2015-09-13,235.13,-4.8,-2.2413133160379286,0
2015-09-14,229.86,-5.27,0.44374836857216643,1
2015-09-15,230.88,1.02,-0.3811503811503792,0
2015-09-16,230.0,-0.88,-0.9304347826086897,0
2015-09-17,227.86,-2.14,2.6946370578425287,1
2015-09-18,234.0,6.14,-0.43162393162392776,0
2015-09-19,232.99,-1.01,-0.9785827717927813,0
2015-09-20,230.71,-2.28,-0.22105673789606836,0
2015-09-21,230.2,-0.51000000000002,-1.5812337098175442,0
2015-09-22,226.56,-3.64,1.2667725988700584,1
2015-09-23,229.43,2.87,0.2266486510046558,1
2015-09-24,229.95,0.51999999999998,1.717764731463369,1
2015-09-25,233.9,3.95,0.8080376229157701,1
2015-09-26,235.79,1.89,-1.2468722168030866,0
2015-09-27,232.85,-2.94,2.6154176508481872,1
2015-09-28,238.94,6.09,-0.5273290365782167,0
2015-09-29,237.68,-1.26,0.09676876472567728,1
2015-09-30,237.91,0.22999999999999,0.4497499054264189,1
2015-10-01,238.98,1.07,-0.502134069796631,0
2015-10-02,237.78,-1.2,0.5845739759441443,1
2015-10-03,239.17,1.39,0.1254337918635328,1
2015-10-04,239.47,0.30000000000001,-0.10439721050653526,0
2015-10-05,239.22,-0.25,3.1142881030014165,1
2015-10-06,246.67,7.45,-0.5756678963797736,0
2015-10-07,245.25,-1.42,-0.5463812436289515,0
2015-10-08,243.91,-1.34,0.35668894264277995,1
2015-10-09,244.78,0.87,0.4126154097556953,1
2015-10-10,245.79,1.01,0.9316896537694863,1
2015-10-11,248.08,2.29,-0.5844888745566015,0
